"partId","PROLIFIC_PID","gender","nationality","education","date","task","trial","left","right","rating","rt"
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",52,"Ex5","Ex7",7.275018429,3.5152
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",53,"Ex3","Ex1",6.042366899,3.8656
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",54,"Ex4","Ex8",6.984112216,1.9809
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",55,"Ex6","Ex7",6.949598124,2.5997
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",1,"Ex8","Ex6",7,6.8651
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",2,"Ex4","Ex5",5.9921875,7.5543
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",3,"Ex1","Ex7",5.9453125,5.0717
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",4,"Ex6","Ex2",7.94921875,3.0472
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",5,"Ex3","Ex7",6.00390625,7.1596
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",6,"Ex6","Ex7",4.97265625,4.1194
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",7,"Ex7","Ex8",2.98046875,4.0355
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",8,"Ex4","Ex8",2.91015625,17.056
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",9,"Ex7","Ex3",2.98046875,3.3573
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",10,"Ex7","Ex4",2.98046875,6.9916
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",11,"Ex2","Ex5",4.984375,5.6353
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",12,"Ex7","Ex1",5.96875,43.3166
"parID_2","5f5668cf2db7050961fce434","FALSE","UK","Level 3","2024-11-07_15h05.43.750","1_to_8",13,"Ex4","Ex6",3.0390625,4.2381
