"participant","subjectId","first","task","difficulty","set","phase","condition2","blocks","blocksPhase","nTrials","pCorrect","avgRt","medRt"
"60e3b450cc89a0046b21c5bc","P21","first-partial","total","easy",2,2,"total-reversed",12,6,8,0.875,0.82325,0.78145
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,1,"partial-reversed",1,1,4,0.75,2.020125,0.75275
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,1,"partial-reversed",2,2,4,0.5,0.802275,0.8276
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,1,"partial-reversed",3,3,4,0.5,0.6993,0.57785
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,1,"partial-reversed",4,4,4,0.25,0.65295,0.5184
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,1,"partial-reversed",5,5,4,0.5,0.55365,0.5696
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,1,"partial-reversed",6,6,4,0.75,0.6098,0.5894
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,1,"partial-nonreversed",1,1,4,0.5,1.15725,1.0698
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,1,"partial-nonreversed",2,2,4,0.75,0.71985,0.7115
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,1,"partial-nonreversed",3,3,4,0.5,0.611625,0.5795
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,1,"partial-nonreversed",4,4,4,0.5,0.7351,0.7106
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,1,"partial-nonreversed",5,5,4,0.75,0.62525,0.581
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,1,"partial-nonreversed",6,6,4,0.5,0.5628,0.5118
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,2,"partial-reversed",7,1,4,0.25,0.6232,0.6118
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,2,"partial-reversed",8,2,4,0.5,0.623125,0.6172
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,2,"partial-reversed",9,3,4,0.25,0.5524,0.5614
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,2,"partial-reversed",10,4,4,0.25,0.6098,0.58545
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,2,"partial-reversed",11,5,4,0.5,0.811625,0.78765
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,2,"partial-reversed",12,6,4,0.5,0.507,0.48565
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,2,"partial-nonreversed",7,1,4,0.75,0.66515,0.71075
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,2,"partial-nonreversed",8,2,4,0.25,0.609775,0.57685
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,2,"partial-nonreversed",9,3,4,0.5,0.821225,0.85575
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,2,"partial-nonreversed",10,4,4,0.5,0.587975,0.5702
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,2,"partial-nonreversed",11,5,4,0.5,0.72455,0.7714
"629e1422d8de28b42ae1a214","P22","first-partial","partial","easy",1,2,"partial-nonreversed",12,6,4,0,0.708325,0.7453
"629e1422d8de28b42ae1a214","P22","first-partial","total","easy",1,1,"total-reversed",1,1,8,0.75,0.8319125,0.8017
"629e1422d8de28b42ae1a214","P22","first-partial","total","easy",1,1,"total-reversed",2,2,8,0.75,0.6406,0.59265
"629e1422d8de28b42ae1a214","P22","first-partial","total","easy",1,1,"total-reversed",3,3,8,0.875,0.538975,0.5493
"629e1422d8de28b42ae1a214","P22","first-partial","total","easy",1,1,"total-reversed",4,4,8,0.75,0.63365,0.6124
"629e1422d8de28b42ae1a214","P22","first-partial","total","easy",1,1,"total-reversed",5,5,8,1,0.603575,0.60265
"629e1422d8de28b42ae1a214","P22","first-partial","total","easy",1,1,"total-reversed",6,6,8,1,0.632925,0.6486
"629e1422d8de28b42ae1a214","P22","first-partial","total","easy",1,2,"total-reversed",7,1,8,0.625,0.75575,0.66935
"629e1422d8de28b42ae1a214","P22","first-partial","total","easy",1,2,"total-reversed",8,2,8,0.75,0.6703,0.6488
"629e1422d8de28b42ae1a214","P22","first-partial","total","easy",1,2,"total-reversed",9,3,8,0.875,0.6338625,0.59625
"629e1422d8de28b42ae1a214","P22","first-partial","total","easy",1,2,"total-reversed",10,4,8,0.75,0.62305,0.64625
"629e1422d8de28b42ae1a214","P22","first-partial","total","easy",1,2,"total-reversed",11,5,8,0.875,0.764625,0.6691
"629e1422d8de28b42ae1a214","P22","first-partial","total","easy",1,2,"total-reversed",12,6,8,0.875,0.6576125,0.65175
"632222532c12ab0ab7ca00bd","P23","first-partial","partial","easy",8,1,"partial-reversed",1,1,4,0.75,0.978,0.9725
"632222532c12ab0ab7ca00bd","P23","first-partial","partial","easy",8,1,"partial-reversed",2,2,4,0.75,0.66275,0.692
"632222532c12ab0ab7ca00bd","P23","first-partial","partial","easy",8,1,"partial-reversed",3,3,4,1,0.8885,0.77
"632222532c12ab0ab7ca00bd","P23","first-partial","partial","easy",8,1,"partial-reversed",4,4,4,1,0.766,0.7395
